id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie,id_skrzyzowania
107507777,2018-12-17,WAWELSKA,GRÓJECKA,działa,Najechanie na pieszego,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Wejście na jezdnię przy czerwonym świetle,20
107662071,2019-01-23,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
107731154,2019-02-28,WAWELSKA,GRÓJECKA,działa,Inne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
107731619,2019-02-28,WAWELSKA,GRÓJECKA,działa,Najechanie na pojazd unieruchomiony,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Inne przyczyny,20
107804928,2019-04-01,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
107923674,2019-05-14,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe omijanie,20
107925483,2019-05-14,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Opady deszczu,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niedostosowanie prędkości do warunków ruchu,20
108048688,2019-07-18,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niestosowanie się do sygnalizacji świetlnej,20
108077871,2019-08-04,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami,20
108183113,2019-09-25,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108197954,2019-10-02,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108209210,2019-10-05,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108249029,2019-10-22,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niestosowanie się do sygnalizacji świetlnej,20
108330427,2019-11-18,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
108501759,2019-12-18,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,"Świt, zmrok",Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe cofanie,20
108512852,2019-12-24,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
