id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie
108045107,2019-07-16,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
108178702,2019-09-24,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
108205754,2019-10-04,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Inne przyczyny
108623511,2020-01-29,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niestosowanie się do sygnalizacji świetlnej
108655751,2020-02-06,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
108756388,2020-03-13,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niedostosowanie prędkości do warunków ruchu
109016019,2020-05-09,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109081818,2020-05-26,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
109309679,2020-07-27,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niedostosowanie prędkości do warunków ruchu
109341115,2020-08-13,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
