id;data;ulica_1;ulica_2;sygnalizacja;rodzaj_zdarzenia;warunki_oswietleniowe;warunki_pogodowe;rodzaj_drogi;ograniczenie_predkosci [km/h];typ_nawierzchni;stan_nawierzchni;oznakowanie_poziome;rodzaj_skrzyzowania;teren_zabudowany;skrzyzowanie;teren_zabudowany_bin;nawierzchnia_twarda_bin;znaki_poziome_bin
107662071;23.01.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107731154;28.02.2019;WAWELSKA;GR覬ECKA;dzia艂a;Inne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107731619;28.02.2019;WAWELSKA;GR覬ECKA;dzia艂a;Najechanie na pojazd unieruchomiony;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107804928;01.04.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107923674;14.05.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Jednojezdniowa dwukierunkowa;50;Twarda;Mokra;Jest;R贸wnorz臋dne;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107925483;14.05.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Opady deszczu;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108048688;18.07.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108077871;04.08.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;R贸wnorz臋dne;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108183113;25.09.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Opady deszczu;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108197954;02.10.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108209210;05.10.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108249029;22.10.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108330427;18.11.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108501759;18.12.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wit, zmrok;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108512852;24.12.2019;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;Noc - droga o艣wietlona;Opady deszczu;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108602000;25.01.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wit, zmrok;Pochmurno;Jednojezdniowa dwukierunkowa;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108672290;15.02.2020;WAWELSKA;GR覬ECKA;brak;Zderzenie pojazd贸w czo艂owe;艢wit, zmrok;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;R贸wnorz臋dne;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108740076;04.03.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
108740347;05.03.2020;WAWELSKA;GR覬ECKA;dzia艂a;Inne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109067658;23.05.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109320980;01.08.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109387285;05.09.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Opady deszczu;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109433495;30.09.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Pochmurno;Jednokierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109537653;14.11.2020;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
109942644;22.02.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110055355;15.03.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110153185;29.04.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110160777;03.05.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110186789;17.05.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110221382;30.05.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110293335;25.06.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110377868;05.08.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
110932890;29.09.2021;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
