,Manewry,Dynamika,Wymuszenia,Piesi
Manewry,62.606232294617556,8.78186968838527,14.164305949008499,14.44759206798867
Dynamika,36.84210526315789,13.533834586466165,23.308270676691727,26.31578947368421
Wymuszenia,14.925373134328357,10.44776119402985,55.72139303482587,18.90547263681592
Piesi,9.090909090909092,4.545454545454546,27.27272727272727,59.09090909090909
