,precision,recall,f1-score,support
Manewry,0.7317880794701986,0.6260623229461756,0.6748091603053435,353.0
Dynamika,0.2535211267605634,0.13533834586466165,0.17647058823529413,133.0
Wymuszenia,0.5628140703517588,0.5572139303482587,0.56,201.0
Piesi,0.0948905109489051,0.5909090909090909,0.16352201257861634,22.0
accuracy,0.5133991537376587,0.5133991537376587,0.5133991537376587,0.5133991537376587
macro avg,0.4107534468828565,0.47738092251704667,0.39370044027981355,709.0
weighted avg,0.5744044023888779,0.5133991537376587,0.5329135488008603,709.0
